CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,0,0,1,1,1,1,0,basic_block9.i.i,1,1000
1,1,0,0,1,1,1,1,0,basic_block72.i,1,35
1,1,0,0,1,1,1,0,0,basic_block.i146.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i162.i,1,8
1,1,0,0,1,1,1,1,0,basic_block153.i,10000,330000
1,1,0,0,1,1,1,0,0,basic_block.i66.i,1,8
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i218.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i58.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i194.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i90.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i202.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i122.i,1,8
1,1,0,0,1,1,1,1,0,basic_block45.i7,1,35
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
0,1,0,0,1,1,1,0,0,basic_block126.i,1,10000
0,0,1,1,1,1,0,1,1,basic_block54.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i186.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i138.i,1,8
1,1,0,0,1,1,1,1,0,basic_block81.i,1,35
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i98.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i154.i,1,8
1,1,0,0,1,1,1,1,0,basic_block108.i,1,35
0,0,1,1,1,1,0,1,1,basic_block90.i,1,0
1,1,0,0,1,1,1,1,0,basic_block162.i,10000,330000
1,1,0,0,1,1,1,0,0,basic_block.i74.i,1,8
0,0,1,1,1,1,0,1,1,basic_block18.i3,1,0
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i226.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i170.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i130.i,1,8
1,1,0,0,1,1,1,1,0,basic_block36.i6,1,35
1,1,0,0,1,1,1,1,0,basic_block135.i,10000,330000
1,1,0,0,1,1,1,0,0,basic_block.i.i,1,8
1,1,0,0,1,1,1,1,0,basic_block171.i,10000,330000
1,1,0,0,1,1,1,0,0,basic_block.i210.i,1,8
1,1,0,0,1,1,1,1,0,basic_block144.i,10000,330000
1,1,0,0,1,1,1,0,0,basic_block.i106.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i114.i,1,8
1,1,1,1,1,1,0,1,1,basic_block9.i2,1,0
1,1,0,0,1,1,1,0,0,basic_block.i234.i,1,8
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,0,0,1,1,1,1,0,basic_block180.i,10000,330000
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block117.i,1,35
1,1,0,0,1,1,1,0,0,basic_block.i82.i,1,8
0,1,1,1,1,1,1,1,0,basic_block9.i25.i,0,0
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
0,1,1,1,1,0,1,1,0,basic_block9.i211.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i178.i,1,8
