CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,0,0,1,1,1,0,0,basic_block.i221.i,512,4096
1,1,0,0,1,1,1,0,0,basic_block.i245.i,512,4096
0,1,0,0,1,1,1,1,0,basic_block72.i,1,200
1,1,0,0,1,1,1,0,0,basic_block.i197.i,512,4096
1,1,0,0,1,1,1,1,0,basic_block153.i,200,1800
1,1,0,0,1,1,1,0,0,basic_block.i117.i,512,4096
1,1,0,0,1,1,1,0,0,basic_block.i149.i,512,4096
1,1,0,0,1,1,1,0,0,basic_block.i141.i,512,4096
1,1,0,0,1,1,1,0,0,basic_block.i125.i,512,4096
1,1,0,0,1,1,1,1,0,basic_block108.i,1800,102200
1,1,0,0,1,1,1,1,0,basic_block162.i,1800,102200
0,1,0,0,1,1,1,0,0,basic_block243.i,1,512
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,0,0,1,1,1,1,0,basic_block99.i,200,1800
1,1,0,0,1,1,1,0,0,basic_block.i133.i,512,4096
0,1,1,1,1,1,1,1,1,basic_block36.i6,255,1
1,1,0,0,1,1,1,1,0,basic_block135.i,200,102400
1,1,0,0,1,1,1,1,0,basic_block.i.i,200,102400
1,1,0,0,1,1,1,1,0,basic_block198.i,200,102400
1,1,0,0,1,1,1,0,0,basic_block.i157.i,512,4096
1,1,0,0,1,1,1,1,0,basic_block144.i,200,102400
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i189.i,512,4096
1,1,0,0,1,1,1,1,0,basic_block216.i,1800,102200
1,1,0,0,1,1,1,1,0,basic_block207.i,200,1800
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block117.i,102200,460800
0,1,0,0,1,1,1,1,1,basic_block234.i,200,102400
1,1,0,0,1,1,1,0,0,basic_block.i69.i,512,4096
1,1,0,0,1,1,1,0,0,basic_block.i101.i,512,4096
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
1,1,0,0,1,1,1,1,0,basic_block9.i.i,1,4096
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,1,0,basic_block.i27.i,200,102400
1,1,0,0,1,1,1,0,0,basic_block.i77.i,512,4096
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
0,1,0,0,1,1,1,1,0,basic_block18.i4,1,256
1,1,0,0,1,1,1,1,0,basic_block45.i7,1,512
1,1,0,0,1,1,1,0,0,basic_block.i63.i,512,4096
1,1,0,0,1,1,1,1,0,basic_block54.i,512,4608
0,1,0,0,1,1,1,1,1,basic_block126.i,200,102400
1,1,0,0,1,1,1,0,0,basic_block.i173.i,512,4096
1,1,0,0,1,1,1,1,0,basic_block81.i,200,102400
1,1,0,0,1,1,1,1,0,basic_block189.i,200,102400
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i85.i,512,4096
1,1,0,0,1,1,1,1,0,basic_block225.i,102200,460800
0,1,1,1,1,1,1,1,1,basic_block27.i5,255,1
1,1,0,0,1,1,1,1,0,basic_block90.i,200,102400
1,1,0,0,1,1,1,0,0,basic_block.i93.i,512,4096
1,1,0,0,1,1,1,0,0,basic_block.i237.i,512,4096
1,1,0,0,1,1,1,0,0,basic_block.i165.i,512,4096
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block.i41.i,200,102400
1,1,0,0,1,1,1,1,0,basic_block171.i,102200,460800
1,1,1,1,1,1,0,1,1,basic_block9.i2,1,0
0,1,1,1,1,1,1,1,0,basic_block9.i19.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i181.i,512,4096
1,1,0,0,1,1,1,0,0,basic_block.i229.i,512,4096
0,1,0,0,1,1,1,1,1,basic_block180.i,200,102400
1,1,0,0,1,1,1,0,0,basic_block.i109.i,512,4096
0,1,1,1,1,0,1,1,0,basic_block9.i222.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i213.i,512,4096
1,1,0,0,1,1,1,0,0,basic_block.i205.i,512,4096
