CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,1,1,1,0,1,1,0,basic_block1350,54295,245705
1,1,1,1,1,0,1,1,0,basic_block225,0,0
1,1,1,1,1,0,1,1,0,basic_block495,54373,245627
1,1,1,1,1,0,1,1,0,basic_block1440,41937,258063
1,1,1,1,1,0,1,1,0,basic_block981,17931,282069
1,1,1,1,1,0,1,1,0,basic_block792,0,0
1,1,1,1,1,0,1,1,0,basic_block1458,17927,282073
1,1,0,0,1,1,1,1,0,basic_block1017,3000,60000
1,1,1,1,1,0,1,1,0,basic_block414,41962,258038
1,1,1,1,1,0,1,1,0,basic_block279,20883,128417
1,1,1,1,1,0,1,1,0,basic_block765,17558,131842
1,1,1,1,1,0,1,1,0,basic_block126,21075,129625
1,1,1,1,1,0,1,1,0,basic_block1197,37713,111587
1,1,1,1,1,0,1,1,0,basic_block243,37679,111621
1,1,1,1,1,0,1,1,0,basic_block1179,0,0
1,1,1,1,1,0,1,1,0,basic_block288,17537,131763
1,1,1,1,1,0,1,1,0,basic_block747,24294,125106
1,1,1,1,1,0,1,1,0,basic_block675,0,0
1,1,0,0,1,1,1,1,1,basic_block846,60000,300000
1,1,1,1,1,0,1,1,0,basic_block720,37728,111672
1,1,1,1,1,0,1,1,0,basic_block486,41932,258068
0,1,0,0,1,1,1,1,1,basic_block1476,3000,60000
1,1,1,1,1,0,1,1,0,basic_block252,17902,131398
0,1,1,1,1,1,0,1,1,basic_block27,1,0
1,1,0,0,1,1,1,0,0,basic_block.i11.i,128,1024
1,1,1,1,1,0,1,1,0,basic_block954,41961,258039
1,1,1,1,1,0,1,1,0,basic_block756,20919,128481
1,1,1,1,1,0,1,1,0,basic_block603,21055,129545
1,1,1,1,1,0,1,1,0,basic_block360,0,0
0,1,1,1,1,0,1,1,1,basic_block18.i,1,128
1,1,1,1,1,0,1,1,1,basic_block1044,149300,150700
1,1,1,1,1,0,1,1,0,basic_block1242,17545,131755
0,1,1,1,1,1,1,1,0,basic_block9.i23,0,0
1,1,1,1,1,0,1,1,0,basic_block162,33478,117222
1,1,1,1,1,0,1,1,0,basic_block171,0,0
1,1,1,1,1,0,1,1,0,basic_block909,54401,245599
0,1,0,0,1,1,1,1,0,basic_block45,1,3000
1,1,1,1,1,0,1,1,0,basic_block189,0,0
1,1,1,1,1,0,1,1,0,basic_block1278,0,0
1,1,1,1,1,0,1,1,0,basic_block927,55777,244223
1,1,1,1,1,0,1,1,0,basic_block216,0,0
1,1,1,1,1,0,1,1,0,basic_block261,20895,128405
1,1,1,1,1,0,1,1,0,basic_block1224,24254,125046
1,1,1,1,1,0,1,1,0,basic_block1386,54379,245621
1,1,1,1,1,0,1,1,0,basic_block639,33487,117113
1,1,1,1,1,0,1,1,0,basic_block450,55736,244264
1,1,0,0,1,0,1,1,0,basic_block54,3000,0
1,1,0,0,1,1,1,1,0,basic_block540,3000,60000
1,1,1,1,1,0,1,1,0,basic_block1260,0,0
1,1,0,0,1,1,1,1,0,basic_block1035,60000,300000
1,1,0,0,1,1,1,1,1,basic_block369,60000,300000
1,1,1,1,1,0,1,1,0,basic_block315,0,0
1,1,0,0,1,1,1,1,0,basic_block81,60000,300000
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,1,1,1,0,1,1,0,basic_block1152,0,0
1,1,1,1,1,0,1,1,0,basic_block1116,33468,117232
1,1,1,1,1,0,1,1,0,basic_block1170,0,0
1,1,1,1,1,0,1,1,1,basic_block567,149400,150600
0,1,1,1,1,0,1,1,0,basic_block9.i4.i,0,0
1,1,1,1,1,0,1,1,0,basic_block783,0,0
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,1,1,1,0,1,1,0,basic_block1332,37995,262005
1,1,1,1,1,0,1,1,0,basic_block117,18057,132643
1,1,0,0,1,0,1,1,0,basic_block531,3000,0
0,1,0,0,1,1,1,0,0,basic_block1485,1,128
1,1,1,1,1,0,1,1,0,basic_block891,41961,258039
1,1,1,1,1,0,1,1,0,basic_block1215,20911,128389
1,1,1,1,1,0,1,1,0,basic_block1449,54379,245621
1,1,1,1,1,0,1,1,0,basic_block1089,24469,126231
1,1,1,1,1,0,1,1,0,basic_block585,37990,112610
1,1,1,1,1,0,1,1,0,basic_block1143,0,0
1,1,1,1,1,0,1,1,0,basic_block1368,41995,258005
1,1,0,0,1,1,1,1,0,basic_block63,3000,60000
1,1,1,1,1,0,1,1,0,basic_block513,37679,262321
1,1,1,1,1,0,1,1,0,basic_block1404,55769,244231
1,1,1,1,1,0,1,1,0,basic_block333,0,0
1,1,0,0,1,1,1,0,0,basic_block.i19.i,128,1024
1,1,1,1,1,0,1,1,0,basic_block621,21042,129558
1,1,1,1,1,0,1,1,0,basic_block990,37728,262272
1,1,1,1,1,0,1,1,0,basic_block1161,0,0
1,1,1,1,1,0,1,1,0,basic_block828,0,0
1,1,1,1,1,0,1,1,0,basic_block135,24436,126264
1,1,1,1,1,0,1,1,1,basic_block711,0,149400
0,1,1,1,1,1,1,1,0,basic_block18.i24,0,0
1,1,0,0,1,1,1,1,0,basic_block558,60000,300000
1,1,1,1,1,0,1,1,0,basic_block819,0,0
1,1,1,1,1,0,1,1,0,basic_block648,0,0
1,1,1,1,1,0,1,1,0,basic_block918,55921,244079
1,1,1,1,1,0,1,1,0,basic_block1422,42014,257986
1,1,1,1,1,0,1,1,0,basic_block855,37990,262010
1,1,0,0,1,1,1,1,0,basic_block18,1,10
1,1,1,1,1,0,1,1,0,basic_block837,0,0
1,1,1,1,1,0,1,1,0,basic_block1080,21062,129638
1,1,1,1,1,0,1,1,0,basic_block432,54373,245627
1,1,1,1,1,0,1,1,0,basic_block864,18049,281951
1,1,1,1,1,0,1,1,0,basic_block198,0,0
1,1,1,1,1,0,1,1,0,basic_block180,0,0
1,1,1,1,1,0,1,1,0,basic_block342,0,0
1,1,1,1,1,0,1,1,0,basic_block1296,0,0
1,1,1,1,1,0,1,1,0,basic_block873,54306,245694
1,1,1,1,1,0,1,1,0,basic_block1413,54295,245705
1,1,1,1,1,0,1,1,1,basic_block576,0,150600
1,1,1,1,1,0,1,1,0,basic_block972,54401,245599
1,1,1,1,1,0,1,1,0,basic_block1431,41995,258005
1,1,1,1,1,0,1,1,0,basic_block1377,41937,258063
1,1,1,1,1,0,1,1,0,basic_block1107,17683,133017
1,1,0,0,1,1,1,1,1,basic_block1323,60000,300000
1,1,1,1,1,0,1,1,0,basic_block666,0,0
1,1,1,1,1,0,1,1,1,basic_block90,149300,150700
1,1,1,1,1,0,1,1,0,basic_block1125,0,0
1,1,1,1,1,0,1,1,0,basic_block1467,37713,262287
1,1,1,1,1,0,1,1,0,basic_block1233,20918,128382
1,1,1,1,1,0,1,1,0,basic_block108,37996,112704
1,1,0,0,1,1,1,1,0,basic_block,1,10
1,1,1,1,1,0,1,1,0,basic_block1206,17927,131373
1,1,1,1,1,0,1,1,0,basic_block1098,21077,129623
1,1,1,1,1,0,1,1,0,basic_block1395,55922,244078
1,1,0,0,1,1,1,0,0,basic_block.i.i,128,1024
1,1,1,1,1,0,1,1,0,basic_block1287,0,0
1,1,1,1,1,0,1,1,0,basic_block207,0,0
1,1,1,1,1,0,1,1,0,basic_block738,20914,128486
1,1,1,1,1,0,1,1,0,basic_block810,0,0
1,1,1,1,1,0,1,1,0,basic_block1071,18056,132644
1,1,1,1,1,0,1,1,0,basic_block468,41973,258027
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,0,0,1,1,1,1,0,basic_block9,1,10
1,1,1,1,1,0,1,1,0,basic_block657,0,0
1,1,1,1,1,0,1,1,0,basic_block351,0,0
1,1,1,1,1,0,1,1,0,basic_block702,0,0
