CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,0,0,1,1,1,1,0,basic_block9.i.i,1,1494
0,1,0,0,1,1,1,1,0,basic_block72.i,4412,4412
1,1,1,1,1,0,1,1,1,basic_block153.i,12854,16460
1,1,0,0,1,1,1,0,0,basic_block.i11.i.i,1494,11952
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i3.i.i,1494,11952
0,1,0,0,1,1,1,1,0,basic_block18.i4,1,200000
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,1,1,1,1,0,1,1,0,basic_block126.i,0,4412
1,1,1,1,1,0,1,1,0,basic_block54.i,0,4412
1,1,0,0,1,1,1,1,0,basic_block63.i,4412,176480
1,1,0,0,1,1,1,0,0,basic_block.i.i.i,1494,11952
1,1,1,1,1,0,1,1,1,basic_block81.i,12854,16460
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,1,1,1,0,1,1,1,basic_block225.i,12854,16460
1,0,1,1,1,0,1,1,1,basic_block108.i,4412,24902
1,1,0,0,1,1,1,1,0,basic_block27.i5,29315,1172600
1,0,1,1,1,0,1,1,0,basic_block90.i,40572,12854
1,0,1,1,1,0,1,1,0,basic_block162.i,40572,12854
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,0,0,1,1,1,1,0,basic_block99.i,29315,1172600
0,1,0,0,1,1,1,0,0,basic_block243.i,1,1494
1,0,1,1,1,0,1,1,1,basic_block36.i6,4412,24902
1,1,0,0,1,1,1,1,0,basic_block135.i,4412,176480
1,1,0,0,1,1,1,1,0,basic_block171.i,29315,1172600
1,1,1,1,1,0,1,1,0,basic_block198.i,0,4412
1,1,0,0,1,1,1,0,0,basic_block.i19.i.i,1494,11952
0,1,0,0,1,1,1,1,0,basic_block144.i,4412,4412
0,1,1,1,1,1,1,1,0,basic_block9.i20.i,0,0
1,1,1,1,1,1,0,1,1,basic_block9.i2,1,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
0,1,0,0,1,1,1,1,0,basic_block216.i,4412,4412
1,0,1,1,1,0,1,1,1,basic_block180.i,4412,24902
1,1,0,0,1,1,1,1,0,basic_block207.i,4412,176480
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
1,0,1,1,1,0,1,1,0,basic_block234.i,40572,12854
0,1,1,1,1,0,1,1,0,basic_block9.i4.i.i,0,0
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
