CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,0,0,1,1,1,1,0,basic_block9.i.i,1,178
0,1,1,1,1,1,1,1,0,basic_block18.i19.i,0,0
1,1,0,0,1,1,1,1,1,basic_block72.i,0,852374
1,1,0,0,1,1,1,1,1,basic_block153.i,126,2302
1,1,0,0,1,1,1,0,0,basic_block.i11.i.i,178,1424
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i3.i.i,178,1424
1,1,1,1,1,0,1,1,1,basic_block45.i7,847553,2428
0,1,0,0,1,1,1,1,0,basic_block18.i4,1,2500
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,1,0,0,1,1,1,1,1,basic_block126.i,849968,2374
1,1,0,0,1,1,1,1,1,basic_block63.i,126,2302
1,1,0,0,1,1,1,0,0,basic_block.i.i.i,178,1424
1,1,0,0,1,1,1,1,1,basic_block81.i,850000,2374
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,1,1,1,0,1,1,1,basic_block225.i,847546,2428
1,1,0,0,1,1,1,1,1,basic_block108.i,126,2303
1,1,0,0,1,1,1,1,1,basic_block27.i5,0,852355
1,1,1,1,1,0,1,1,1,basic_block90.i,847571,2429
1,1,0,0,1,1,1,1,1,basic_block162.i,0,852541
1,1,1,1,1,0,1,1,1,basic_block27.i20.i,0,0
0,1,0,0,1,1,1,0,0,basic_block252.i,1,178
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,0,0,1,1,1,1,1,basic_block243.i,126,2302
1,1,0,0,1,1,1,1,1,basic_block36.i6,849981,2374
1,1,1,1,1,0,1,1,1,basic_block135.i,847540,2428
0,1,1,1,1,1,1,1,0,basic_block9.i18.i,0,0
1,1,0,0,1,1,1,1,1,basic_block171.i,850167,2374
1,1,0,0,1,1,1,1,1,basic_block198.i,126,2303
1,1,0,0,1,1,1,0,0,basic_block.i19.i.i,178,1424
1,1,0,0,1,1,1,1,0,basic_block45.i.i,1,400
1,1,1,1,1,1,0,1,1,basic_block9.i2,1,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,0,0,1,1,1,1,1,basic_block216.i,849974,2374
1,1,1,1,1,0,1,1,1,basic_block180.i,847738,2429
1,1,0,0,1,1,1,1,1,basic_block207.i,0,852348
1,0,1,1,1,1,0,1,0,basic_block18.i.i,1,0
1,1,0,0,1,1,1,1,1,basic_block117.i,0,852342
0,1,1,1,1,0,1,1,0,basic_block9.i4.i.i,0,0
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
