CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
0,0,0,0,0,1,0,0,0,basic_block27.i.i.i,0,0
1,1,0,0,0,1,0,0,1,basic_block90.i52,0,48640
1,0,0,0,0,1,0,0,1,basic_block225,4934789,4777819
1,0,0,0,0,1,0,0,1,basic_block36.i21,1520,1520
1,0,0,0,0,1,0,0,1,basic_block9.i5,0,0
0,1,0,0,0,1,0,0,0,basic_block279,0,0
1,0,1,1,0,0,0,0,1,basic_block126,685463,646008
0,1,1,1,0,1,0,0,0,basic_block126.i30,0,0
1,0,0,0,0,1,0,0,1,basic_block243,1140,0
0,1,1,1,0,1,0,0,0,basic_block288,0,0
1,0,0,0,0,1,0,0,1,basic_block.i.i10,0,380
0,0,0,0,0,0,1,0,1,basic_block54.i.i.i23,0,0
1,0,0,0,0,1,0,0,1,basic_block126.i55,0,0
0,0,0,0,0,1,0,0,1,basic_block9.i36.i.i.i,380,0
1,0,0,0,0,1,0,0,1,basic_block162.i,0,0
0,0,0,0,0,1,0,0,0,basic_block9.i21.i.i.i,0,0
0,1,1,1,0,1,0,0,0,basic_block252,0,0
0,0,0,0,0,1,0,0,0,basic_block27,29573123,3329326
1,0,0,0,0,1,0,0,1,basic_block63.i74,0,0
0,1,0,0,0,1,0,0,0,basic_block27.i44,0,0
1,0,0,0,0,1,0,0,1,basic_block99.i,380,1140
1,0,0,0,0,1,0,0,0,basic_block18.i,2280,5320
0,0,1,1,0,1,0,0,1,basic_block27.i16,0,380
0,1,0,0,0,1,0,0,1,basic_block27.i9.i.i.i,1140,0
1,0,1,1,0,0,0,0,1,basic_block135.i,0,2280
0,1,0,0,0,1,0,0,0,basic_block9.i42,0,0
0,1,1,1,0,0,0,1,1,basic_block.i28.i.i.i,380,1520
1,0,0,0,0,1,0,0,1,basic_block9.i2.i.i.i,0,380
1,0,0,0,0,0,0,0,1,basic_block18.i4.i,0,0
1,0,0,0,0,1,0,0,1,basic_block81.i.i.i,0,0
1,0,0,0,0,1,0,0,1,basic_block27.i8,380,0
1,1,0,0,0,1,0,0,1,basic_block171,2039898,380
1,0,0,0,0,1,0,0,1,basic_block162,2041418,13680
1,1,0,0,0,1,0,0,1,basic_block54.i._crit_edge,0,0
0,0,0,0,0,1,0,0,0,basic_block45,254932068,3245312
0,0,0,0,0,0,0,0,0,basic_block54.i12.i.i.i,0,760
1,0,0,0,0,1,0,0,1,basic_block117.i,0,380
1,0,1,1,0,0,0,0,0,basic_block36,7421160,3440863
0,0,0,0,0,1,0,0,0,basic_block144.i.i.i,380,0
1,0,0,0,0,0,1,0,1,basic_block189,289664,380
0,0,1,1,0,0,0,1,1,basic_block9.i1,380,6080
0,1,1,1,0,1,0,0,0,basic_block261,0,0
0,1,1,1,0,1,0,0,0,basic_block216,44368,0
0,0,0,0,0,1,0,0,0,basic_block18.i35,0,379
1,0,0,0,0,1,0,0,1,basic_block18.i19,1520,0
0,0,0,0,0,1,0,0,1,basic_block9.i.i.i,0,0
1,0,0,0,0,0,0,0,1,basic_block9.i3.i,0,0
1,0,0,0,0,1,0,0,1,basic_block180.i62,0,760
1,0,0,0,0,1,0,0,1,basic_block18.i69,0,0
1,0,1,1,0,0,0,0,0,basic_block54,534035,3080463
1,0,0,0,0,1,0,0,1,basic_block9.i.i,760,380
1,0,1,1,0,1,0,1,1,basic_block9.i.i29,0,380
0,0,0,0,0,1,0,0,1,basic_block108.i.i.i,0,380
0,1,1,1,0,1,0,0,0,basic_block315,0,0
1,0,0,0,0,1,0,0,1,basic_block36.i13,0,380
1,0,0,0,0,1,0,0,1,basic_block9.i4,0,1140
1,0,1,1,0,0,0,1,0,basic_block81,5407655,1403844
0,0,1,1,0,0,0,1,0,basic_block.i,1141,5700
