CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
0,1,1,1,1,1,1,1,0,basic_block9.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block99.i,100,7680000
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,1,1,1,1,1,1,1,basic_block72.i,0,1
1,1,0,0,1,1,1,1,0,basic_block36.i6,1,0
1,1,0,0,1,1,1,0,0,basic_block.i.i,230400,1843200
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,0,1,1,0,basic_block45.i7,3,1
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,1,0,0,1,1,1,1,0,basic_block18.i4,1,1
1,0,0,0,1,0,1,1,0,basic_block54.i,1,1
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,0,0,1,0,1,1,0,basic_block63.i,3,1
0,1,1,1,1,1,0,1,1,basic_block81.i,1,0
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
0,1,0,0,1,1,1,1,0,basic_block108.i,1,230400
1,1,0,0,1,0,1,1,0,basic_block27.i5,3,1
1,1,0,0,1,1,1,1,0,basic_block90.i,1,100
0,1,1,1,1,0,1,1,0,basic_block9.i3.i,0,0
0,1,1,1,1,0,1,1,0,basic_block45.i,0,0
