CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
0,1,1,1,1,1,1,1,0,basic_block9.i.i,0,0
1,1,0,0,1,0,1,1,0,basic_block.i.i12.i,0,0
0,1,1,1,1,1,1,1,0,basic_block72.i,0,0
1,1,0,0,1,1,1,1,0,basic_block36.i.i,372,7440
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
0,1,1,1,1,0,1,1,1,basic_block45.i7,0,0
0,1,1,1,1,0,1,1,0,basic_block18.i4,0,0
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,1,1,1,1,0,1,0,0,basic_block126.i,0,0
0,1,1,1,1,1,0,1,1,basic_block54.i,0,0
1,1,1,1,1,0,1,0,0,basic_block63.i,0,0
1,1,0,0,1,0,1,1,1,basic_block9.i5.i,373,0
1,1,0,0,1,0,1,1,0,basic_block.i2.i.i,372,3720
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
0,1,0,0,1,1,1,1,1,basic_block.i2,1,0
1,1,1,1,1,0,1,1,0,basic_block108.i,0,0
0,1,1,1,1,0,1,1,0,basic_block27.i5,0,0
1,1,1,1,1,1,0,1,0,basic_block90.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i3.i.i.i,0,0
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i.i.i.i,0,0
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,0,0,1,0,1,1,0,basic_block.i7.i.i,372,3720
0,1,0,0,1,1,1,1,0,basic_block99.i,0,0
1,1,1,1,1,0,1,1,0,basic_block36.i6,0,0
1,1,1,1,1,0,1,0,0,basic_block45.i17.i,0,0
0,0,0,0,1,0,1,0,0,basic_block.i.i,0,0
0,1,1,1,1,0,1,1,0,basic_block126.i.thread,0,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
0,0,1,1,1,0,1,1,0,basic_block9.i.i13.i,0,0
0,1,1,1,1,0,1,1,1,basic_block9.i3.i.i,372,372
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
0,1,1,1,1,1,1,1,0,basic_block27.i15.i,0,0
1,1,1,1,1,0,1,1,1,basic_block27.i7.i,372,1
1,1,0,0,1,0,1,0,0,basic_block9.i8.i.i,372,372
0,1,1,1,1,0,1,1,1,basic_block9.i3,0,0
0,1,1,1,1,1,1,1,0,basic_block36.i16.i,0,0
0,1,1,1,1,0,1,1,0,basic_block45.i,0,0
1,1,1,1,1,1,1,1,0,basic_block54.i.i,369,3
