CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
0,1,0,0,1,1,1,1,0,basic_block9.i.i,600000,6000000
0,1,1,1,1,0,1,1,0,basic_block9.i118.i,0,0
0,1,1,1,1,1,1,1,0,basic_block9.i49.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i117.i,600,4800
1,1,0,0,1,1,1,0,0,basic_block.i77.i,600,4800
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i42.i,600,4800
1,1,0,0,1,1,1,0,0,basic_block.i85.i,600,4800
1,1,0,0,1,1,1,0,0,basic_block.i141.i,600,4800
1,1,0,0,1,1,1,0,0,basic_block.i125.i,600,4800
1,1,0,0,1,1,1,0,0,basic_block.i93.i,600,4800
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i26.i,600,4800
1,1,0,0,1,1,1,0,0,basic_block.i133.i,600,4800
1,1,0,0,1,1,1,0,0,basic_block.i53.i,600,4800
0,1,0,0,1,1,1,0,0,basic_block.i.i,1000,600000
0,1,0,0,1,1,1,1,0,basic_block9.i19.i,600,6000
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i61.i,600,4800
1,1,0,0,1,1,1,0,0,basic_block.i34.i,600,4800
1,1,0,0,1,1,1,0,0,basic_block.i109.i,600,4800
0,1,0,0,1,0,1,1,0,basic_block.i1,1000,1
1,1,0,0,1,1,1,0,0,basic_block.i21.i,600,4800
1,1,0,0,1,1,1,0,0,basic_block.i69.i,600,4800
0,1,1,1,1,1,1,1,0,basic_block18.i50.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i101.i,600,4800
0,1,0,0,1,1,1,0,0,basic_block9.i3,1,600
0,1,1,1,1,0,1,1,0,basic_block45.i,0,0
0,1,0,0,1,1,1,0,0,basic_block.i17.i,1,600
