CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,0,1,1,1,0,1,1,1,basic_block198,2038036,0
1,0,1,1,1,0,1,1,0,basic_block225,466466,1571570
1,0,1,1,1,0,1,1,1,basic_block342,2038036,0
1,0,1,1,1,0,1,1,1,basic_block180,2038036,0
1,0,1,1,1,0,1,1,0,basic_block495,503503,1534533
1,0,1,1,1,0,1,1,1,basic_block576,1951950,86086
1,0,1,1,1,0,1,1,1,basic_block414,2038036,0
1,0,1,1,1,0,1,1,0,basic_block279,482482,1555554
1,0,1,1,1,0,1,1,1,basic_block126,2039037,0
1,0,1,1,1,0,1,1,0,basic_block243,466466,1571570
1,0,1,1,1,0,1,1,1,basic_block288,1951950,86086
1,0,1,1,1,0,1,1,1,basic_block90,2039037,0
1,0,1,1,1,0,1,1,1,basic_block108,2039037,0
1,0,1,1,1,0,1,1,1,basic_block486,2038036,0
1,1,0,0,1,1,1,0,0,basic_block,1001,345345
1,0,1,1,1,0,1,1,1,basic_block252,2038036,0
1,0,1,1,1,0,1,1,0,basic_block27,467467,1571570
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,0,1,1,1,0,1,1,1,basic_block360,2038036,0
1,1,0,0,1,1,1,0,0,basic_block.i.i,12721,101768
1,0,1,1,1,0,1,1,0,basic_block207,492492,1545544
1,0,1,1,1,0,1,1,1,basic_block468,2038036,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,0,0,1,1,1,1,0,basic_block9,345345,3453450
1,1,1,1,1,0,1,1,1,basic_block162,1951950,0
1,0,1,1,1,0,1,1,0,basic_block171,477477,1560559
1,0,1,1,1,0,1,1,0,basic_block351,477477,1560559
1,0,1,1,1,0,1,1,0,basic_block45,484484,1554553
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
1,0,1,1,1,0,1,1,1,basic_block36,2039037,0
1,0,1,1,1,0,1,1,0,basic_block189,475475,1562561
1,0,1,1,1,0,1,1,1,basic_block216,2038036,0
1,0,1,1,1,0,1,1,0,basic_block261,471471,1566565
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
1,1,1,1,1,0,1,1,1,basic_block450,1951950,0
1,0,1,1,1,0,1,1,1,basic_block54,2039037,0
0,1,1,1,1,1,1,1,0,basic_block9.i.i,0,0
1,0,1,1,1,0,1,1,1,basic_block234,2038036,0
1,0,1,1,1,0,1,1,1,basic_block540,2038036,0
1,0,1,1,1,0,1,1,0,basic_block369,466466,1571570
1,0,1,1,1,0,1,1,0,basic_block315,488488,1549548
1,0,1,1,1,0,1,1,0,basic_block81,474474,1564563
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,1,1,1,0,1,1,1,basic_block594,0,0
1,0,1,1,1,0,1,1,0,basic_block567,495495,1542541
1,0,1,1,1,0,1,1,0,basic_block405,481481,1556555
1,0,1,1,1,0,1,1,0,basic_block153,481481,1470469
0,1,0,0,1,1,1,0,0,basic_block18.i4,1,12721
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,0,1,1,1,0,1,1,0,basic_block459,513513,1524523
1,0,1,1,1,0,1,1,0,basic_block549,479479,1558557
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,0,1,1,1,0,1,1,0,basic_block117,494494,1544543
1,0,1,1,1,0,1,1,0,basic_block531,468468,1569568
1,0,1,1,1,0,1,1,0,basic_block423,487487,1550549
1,1,1,1,1,0,1,1,1,basic_block306,1951950,0
1,0,1,1,1,0,1,1,1,basic_block324,2038036,0
1,0,1,1,1,0,1,1,0,basic_block297,460460,1491490
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
1,0,1,1,1,0,1,1,1,basic_block378,2038036,0
1,0,1,1,1,0,1,1,0,basic_block441,478478,1473472
1,0,1,1,1,0,1,1,0,basic_block585,1465464,486486
1,0,1,1,1,0,1,1,0,basic_block387,450450,1587586
1,0,1,1,1,0,1,1,0,basic_block99,463463,1575574
1,0,1,1,1,0,1,1,1,basic_block504,2038036,0
1,0,1,1,1,0,1,1,0,basic_block63,484484,1554553
1,0,1,1,1,0,1,1,0,basic_block513,484484,1553552
1,0,1,1,1,0,1,1,0,basic_block333,491491,1546545
0,1,0,0,1,0,1,1,1,basic_block9.i2,1000,1
1,0,1,1,1,0,1,1,1,basic_block396,2038036,0
0,1,1,1,1,0,1,1,0,basic_block9.i1.i,0,0
1,0,1,1,1,0,1,1,1,basic_block144,1951950,87087
1,0,1,1,1,0,1,1,0,basic_block477,492492,1545544
1,0,1,1,1,0,1,1,0,basic_block135,475475,1563562
1,0,1,1,1,0,1,1,1,basic_block522,2038036,0
1,0,1,1,1,0,1,1,1,basic_block558,2038036,0
1,0,1,1,1,0,1,1,1,basic_block72,2039037,0
1,0,1,1,1,0,1,1,1,basic_block270,2038036,0
1,0,1,1,1,0,1,1,0,basic_block18,2297295,1156155
1,0,1,1,1,0,1,1,1,basic_block432,1951950,86086
