CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
0,1,1,1,1,0,1,1,0,basic_block9.i.i,0,0
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
0,1,1,1,1,1,1,1,0,basic_block9.i2.i,0,0
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i.i,0,0
1,1,0,0,1,1,1,0,1,basic_block.i,0,0
0,1,1,1,1,1,1,1,0,basic_block18.i3.i,0,0
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
0,1,1,1,1,0,1,1,0,basic_block45.i,0,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
