CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,1,1,1,1,1,1,0,basic_block27.i.i,0,0
0,1,0,0,1,1,1,0,0,basic_block99.i,0,0
1,1,1,1,1,0,1,1,0,basic_block9.i.i,0,0
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
0,1,1,1,1,1,1,1,1,basic_block72.i,0,0
1,1,0,0,1,1,1,1,1,basic_block36.i6,0,0
1,1,0,0,1,1,1,1,0,basic_block.i.i,0,0
1,1,0,0,1,1,1,0,1,basic_block.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i3.i.i,0,0
0,1,1,1,1,1,1,1,0,basic_block18.i6.i,0,0
0,1,1,1,1,1,1,1,1,basic_block9.i2,0,0
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,1,0,0,1,1,1,1,1,basic_block54.i,0,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
0,1,1,1,1,1,1,1,0,basic_block9.i5.i,0,0
1,1,1,1,1,1,1,1,0,basic_block63.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i.i.i,0,0
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,1,1,1,1,1,1,1,basic_block18.i.i,0,0
0,1,1,1,1,0,1,1,0,basic_block27.i4,0,0
1,1,1,1,1,0,1,1,1,basic_block27.i7.i,0,0
0,1,0,0,1,1,1,1,1,basic_block90.i,0,0
0,1,1,1,1,0,1,1,0,basic_block9.i4.i.i,0,0
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
1,1,1,1,1,1,1,1,1,basic_block18.i3,0,0
