CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,0,0,1,1,1,0,0,basic_block.i107.i,1,8
1,1,0,0,1,1,1,1,0,basic_block9.i.i,1,2024
1,0,1,1,1,1,1,1,1,basic_block72.i,575,9425
1,1,1,1,1,0,1,1,0,basic_block153.i,575,9425
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i91.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i75.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i99.i,1,8
1,1,0,0,1,1,1,1,0,basic_block45.i7,10000,80000
0,1,0,0,1,1,1,0,0,basic_block18.i4,1,10000
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,1,0,0,1,1,1,1,0,basic_block126.i,10000,70000
1,1,0,0,1,1,1,1,0,basic_block54.i,10000,80000
1,1,1,1,1,0,1,1,0,basic_block63.i,575,9425
1,1,0,0,1,1,1,1,0,basic_block81.i,10000,70000
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,1,1,1,0,1,1,0,basic_block108.i,575,9425
1,0,1,1,1,1,1,1,1,basic_block27.i5,575,9425
1,1,0,0,1,1,1,1,0,basic_block90.i,10000,80000
1,1,0,0,1,1,1,0,0,basic_block.i59.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i43.i,1,8
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,0,0,1,1,1,1,0,basic_block99.i,10000,80000
1,1,0,0,1,1,1,0,0,basic_block.i35.i,1,8
0,1,1,1,1,1,1,1,0,basic_block9.i11.i,0,0
1,1,0,0,1,1,1,1,0,basic_block36.i6,10000,70000
1,1,0,0,1,1,1,1,0,basic_block135.i,10000,80000
1,1,0,0,1,1,1,0,0,basic_block.i.i,1,8
0,1,1,1,1,0,1,1,0,basic_block9.i92.i,0,0
1,1,0,0,1,1,1,1,0,basic_block144.i,10000,80000
1,1,1,1,1,1,0,1,1,basic_block9.i2,1,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
1,0,1,1,1,1,1,1,1,basic_block117.i,575,9425
1,1,0,0,1,1,1,0,0,basic_block.i115.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i51.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i83.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i67.i,1,8
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
