CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,0,0,1,1,1,1,0,basic_block72.i,1500,12000
1,1,0,0,1,1,1,0,0,basic_block.i162.i,64,512
1,1,0,0,1,1,1,1,0,basic_block153.i,12000,96000
0,1,0,0,1,1,1,1,0,basic_block441.i,8,64
1,1,0,0,1,1,1,1,0,basic_block324.i,1500,12000
0,1,1,1,1,0,1,1,0,basic_block9.i141.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i186.i,64,512
1,1,0,0,1,1,1,0,0,basic_block432.i,1,8
1,1,0,0,1,1,1,1,0,basic_block108.i,96000,768000
1,1,0,0,1,1,1,1,0,basic_block162.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block405.i,12000,96000
1,1,0,0,1,1,1,1,0,basic_block.i289.i,1500,24000
1,1,0,0,1,1,1,1,0,basic_block333.i,12000,96000
1,1,0,0,1,1,1,1,0,basic_block243.i,1500,12000
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,0,0,1,1,1,1,0,basic_block99.i,12000,96000
1,1,1,1,1,0,1,1,1,basic_block36.i6,8,56
1,1,0,0,1,1,1,1,0,basic_block135.i,96000,768000
1,1,0,0,1,1,1,1,0,basic_block288.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block.i.i,1500,24000
1,1,0,0,1,1,1,1,0,basic_block270.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block198.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block.i128.i,1500,24000
1,1,0,0,1,1,1,1,0,basic_block144.i,1500,12000
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,0,0,1,1,1,1,0,basic_block216.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block207.i,12000,96000
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block117.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block414.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block234.i,96000,768000
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
1,1,0,0,1,1,1,1,0,basic_block9.i.i,1,8192
1,1,0,0,1,1,1,1,0,basic_block360.i,96000,768000
1,1,0,0,1,1,1,1,0,basic_block387.i,96000,768000
1,1,0,0,1,1,1,0,0,basic_block.i146.i,64,512
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,1,0,basic_block315.i,12000,96000
1,1,0,0,1,1,1,0,0,basic_block.i194.i,64,512
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,1,0,0,1,1,1,1,0,basic_block18.i4,1,8
0,1,0,0,1,1,1,1,0,basic_block45.i7,1,1500
1,1,0,0,1,1,1,1,0,basic_block54.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block126.i,12000,96000
1,1,0,0,1,1,1,1,0,basic_block342.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block63.i,12000,96000
1,1,0,0,1,1,1,1,0,basic_block81.i,12000,96000
1,1,0,0,1,1,1,1,0,basic_block189.i,12000,96000
1,1,0,0,1,1,1,1,0,basic_block351.i,12000,96000
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i154.i,64,512
1,1,0,0,1,1,1,1,0,basic_block225.i,12000,96000
1,1,0,0,1,1,1,1,1,basic_block27.i5,8,64
1,1,0,0,1,1,1,1,0,basic_block90.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block369.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block252.i,12000,96000
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i170.i,64,512
0,1,1,1,1,1,1,1,0,basic_block9.i53.i,0,0
1,1,0,0,1,1,1,1,0,basic_block279.i,12000,96000
0,1,0,0,1,1,1,1,1,basic_block171.i,12000,96000
1,1,0,0,1,1,1,0,0,basic_block.i140.i,64,512
1,1,1,1,1,1,0,1,1,basic_block9.i2,1,0
0,1,0,0,1,1,1,1,1,basic_block423.i,12000,96000
1,1,0,0,1,1,1,1,0,basic_block180.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block396.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block378.i,12000,96000
1,1,0,0,1,1,1,1,0,basic_block306.i,1500,12000
1,1,0,0,1,1,1,1,0,basic_block261.i,96000,768000
0,1,0,0,1,1,1,1,1,basic_block297.i,12000,96000
1,1,0,0,1,1,1,0,0,basic_block.i178.i,64,512
