CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
0,0,0,0,0,0,0,0,1,basic_block153.i,1240,0
0,0,1,1,0,1,0,0,1,basic_block441.i,110,1240
0,0,1,1,0,0,0,1,1,basic_block.i3.i.i,3419,27352
0,0,1,1,0,0,0,0,1,basic_block324.i,15800,210700
1,0,1,1,0,0,0,0,1,basic_block513.i,1240,32840
0,0,1,1,0,0,0,0,1,basic_block630.i,110,1240
0,0,0,0,0,0,0,0,1,basic_block432.i,0,110
0,0,1,1,0,0,0,0,1,basic_block684.i,1130,15800
0,0,1,1,0,0,0,0,1,basic_block594.i,930,28610
0,0,1,1,0,0,0,0,1,basic_block108.i,1240,17040
0,0,0,0,0,0,0,0,1,basic_block162.i,1130,110
0,0,0,0,0,0,1,0,1,basic_block,330,0
0,0,1,1,0,0,0,0,1,basic_block405.i,110,1240
0,0,1,1,0,0,0,0,1,basic_block27,330,3720
0,0,1,1,0,0,0,0,1,basic_block333.i,1240,17040
0,0,1,1,0,0,0,0,1,basic_block477.i,110,1240
1,0,1,1,0,0,0,0,0,basic_block243.i,110,1240
1,0,0,0,0,1,0,0,0,basic_block18.i,0,0
0,0,1,1,0,0,0,0,1,basic_block99.i,15800,210700
1,0,0,0,0,1,0,0,0,basic_block36.i6,110,0
0,0,0,0,0,0,0,0,1,basic_block135.i,930,310
0,0,0,0,0,1,0,0,1,basic_block639.i,1130,110
1,0,1,1,0,0,0,0,1,basic_block288.i,1240,32840
1,0,0,0,0,0,1,0,0,basic_block270.i,110,0
1,0,0,0,0,0,0,0,1,basic_block9.i47.i,0,0
0,0,1,1,0,0,0,0,1,basic_block198.i,15800,1130
0,0,1,1,0,0,0,0,1,basic_block144.i,930,28610
0,0,1,1,0,0,0,0,1,basic_block648.i,15800,1130
0,0,1,1,0,0,0,0,1,basic_block549.i,15800,210700
1,0,0,0,0,0,1,0,0,basic_block495.i,110,0
1,0,0,0,0,1,0,0,1,basic_block27.i,0,0
0,0,1,1,0,1,0,0,1,basic_block216.i,110,1240
0,0,1,1,0,0,0,0,1,basic_block45,3720,98520
0,0,0,0,0,0,0,0,1,basic_block207.i,0,110
0,0,1,1,0,0,0,0,1,basic_block540.i,1240,15800
1,0,0,0,0,0,0,0,1,basic_block18.i.i,0,0
0,0,1,1,0,0,0,0,1,basic_block36,330,3720
0,0,1,1,0,0,0,0,1,basic_block117.i,17040,226500
0,0,0,0,0,1,0,0,1,basic_block414.i,1130,110
0,0,1,1,0,0,0,0,1,basic_block234.i,1130,15800
0,0,1,1,0,0,0,0,1,basic_block567.i,17040,226500
0,1,0,0,0,1,0,0,0,basic_block45.i,0,0
1,0,1,1,0,0,0,0,0,basic_block693.i,110,1240
0,0,0,0,0,0,0,0,1,basic_block585.i,930,310
0,0,0,0,0,0,0,0,0,basic_block54,30,300
0,0,1,1,0,0,0,0,1,basic_block9.i.i,1,3419
0,0,0,0,0,0,0,0,1,basic_block360.i,930,310
0,0,0,0,0,0,0,0,1,basic_block450.i,1130,110
0,0,0,0,0,0,0,0,1,basic_block387.i,1130,110
0,0,1,1,0,0,0,1,1,basic_block.i11.i.i,3419,27352
0,0,1,1,0,0,0,1,0,basic_block.i,1,0
0,0,1,1,0,0,0,0,1,basic_block531.i,110,1240
0,0,1,1,0,0,0,0,1,basic_block315.i,1240,15800
1,0,1,1,0,0,0,1,1,basic_block711.i,1,3419
0,0,1,1,0,0,0,0,1,basic_block621.i,1130,15800
0,0,1,1,0,0,0,0,1,basic_block558.i,1240,17040
0,0,0,0,0,0,0,0,1,basic_block612.i,1130,110
1,0,0,0,0,0,0,0,0,basic_block36.i,0,0
1,0,0,0,0,0,1,0,0,basic_block45.i7,110,0
0,0,1,1,0,0,0,0,1,basic_block54.i,110,1240
0,0,1,1,0,0,0,0,1,basic_block342.i,17040,226500
1,0,1,1,0,0,0,0,1,basic_block63.i,1240,32840
0,0,1,1,0,0,0,1,1,basic_block.i.i.i,3419,27352
0,0,1,1,0,0,0,0,1,basic_block81.i,110,1240
0,0,0,0,0,1,0,0,1,basic_block189.i,1130,110
0,0,0,0,0,0,0,0,1,basic_block657.i,0,110
1,0,0,0,0,1,0,0,0,basic_block9.i,0,0
0,0,0,0,0,0,0,0,1,basic_block675.i,1130,110
0,0,0,0,0,0,0,0,1,basic_block225.i,1130,110
1,0,1,1,0,0,0,0,1,basic_block27.i5,1,110
0,0,1,1,0,1,0,0,1,basic_block666.i,110,1240
0,0,1,1,0,0,0,0,1,basic_block90.i,1240,15800
0,0,1,1,0,0,0,0,1,basic_block369.i,930,28610
0,0,0,0,0,0,1,0,0,basic_block18.i3,1,0
0,0,1,1,0,0,0,0,1,basic_block252.i,110,1240
0,0,0,0,0,1,0,0,0,basic_block27.i.i,0,0
0,0,1,1,0,0,0,0,1,basic_block279.i,110,1240
0,0,1,1,0,0,0,0,1,basic_block171.i,1130,15800
0,0,1,1,0,0,0,0,1,basic_block459.i,1130,15800
1,0,0,0,0,1,0,0,0,basic_block486.i,110,0
0,0,1,1,0,0,0,1,1,basic_block.i19.i.i,3419,27352
1,0,0,0,0,0,1,0,0,basic_block9.i2,1,0
0,0,1,1,0,0,0,0,1,basic_block423.i,15800,1130
0,0,1,1,0,0,0,0,1,basic_block180.i,110,1240
0,0,1,1,0,0,0,0,1,basic_block396.i,1130,15800
0,0,0,0,0,0,0,0,1,basic_block378.i,1240,0
0,0,1,1,0,0,0,0,1,basic_block306.i,110,1240
0,0,0,0,0,0,0,0,1,basic_block603.i,1240,0
1,0,1,1,0,0,0,0,0,basic_block468.i,110,1240
0,0,1,1,0,0,0,0,1,basic_block702.i,110,1240
1,0,0,0,0,1,0,0,0,basic_block261.i,110,0
1,0,0,0,0,1,0,0,1,basic_block9.i4.i.i,0,0
0,0,1,1,0,0,0,0,1,basic_block504.i,110,1240
