CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
0,1,1,1,1,1,1,1,0,basic_block9.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block99.i,1000,76800000
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
0,1,0,0,1,1,1,1,0,basic_block135.i,1,307200
1,1,1,1,1,1,1,1,1,basic_block72.i,0,1
1,1,0,0,1,1,1,1,0,basic_block36.i6,1,0
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i3.i.i,307200,2457600
1,1,0,0,1,0,1,1,0,basic_block45.i7,3,1
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,1,0,0,1,1,1,1,0,basic_block18.i4,1,1
1,1,1,1,1,1,1,1,1,basic_block126.i,19620000,26800000
1,0,0,0,1,0,1,1,0,basic_block54.i,1,1
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,0,0,1,0,1,1,0,basic_block63.i,3,1
1,1,0,0,1,1,1,0,0,basic_block.i.i.i,307200,2457600
0,1,1,1,1,1,0,1,1,basic_block81.i,1,0
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
1,1,1,1,1,1,1,1,1,basic_block117.i,1566000,28814000
1,1,1,1,1,1,1,1,1,basic_block108.i,46420000,30380000
1,1,0,0,1,0,1,1,0,basic_block27.i5,3,1
1,1,0,0,1,1,1,1,0,basic_block90.i,1,1000
0,1,1,1,1,0,1,1,0,basic_block9.i4.i.i,0,0
0,1,1,1,1,0,1,1,0,basic_block45.i,0,0
